City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
162,charters towers,-20.1,146.2667,16.53,93,0,3.26,AU,1694290090
163,nadym,65.5333,72.5167,9.79,91,100,2.48,RU,1694290090
164,anadyr,64.75,177.4833,4.28,86,40,4.92,RU,1694290091
165,new norfolk,-42.7826,147.0587,7.72,77,98,2.2,AU,1694290091
166,ar rutbah,33.0381,40.2848,31.08,18,0,3.75,IQ,1694290092
167,haslach,48.5653,8.0566,24.73,74,8,0.45,DE,1694290092
168,mao,39.8885,4.2658,23.31,78,0,1.54,ES,1694290092
169,thunder bay,48.4001,-89.3168,19.16,63,54,3.1,CA,1694290092
170,as sulayyil,20.4607,45.5779,32.87,13,4,3.65,SA,1694290092
171,bochum,51.4833,7.2167,24.68,75,9,0.4,DE,1694290093
172,nar'yan-mar,67.6713,53.087,9.17,83,83,4.54,RU,1694290093
173,tughyl,47.7252,84.2063,17.31,56,86,0.79,KZ,1694290093
174,kaa-khem,51.6833,94.7333,7.01,70,9,1.49,RU,1694290094
175,kedrovyy,56.1667,91.8167,4.37,93,14,0.66,RU,1694290094
176,tocancipa,4.9653,-73.913,17.9,61,72,4.18,CO,1694290094
177,tshikapa,-6.4167,20.8,25.82,67,100,2.17,CD,1694290094
178,kununurra,-15.7667,128.7333,26.99,22,100,4.63,AU,1694290095
179,vilyuchinsk,52.9306,158.4028,6.15,80,2,4.95,RU,1694290095
180,nieuw amsterdam,5.8833,-55.0833,34.09,70,40,1.54,SR,1694290095
181,ghanzi,-21.5667,21.7833,22.56,16,0,3.63,BW,1694290095
182,bettiah,26.8,84.5,25.57,93,100,4.06,IN,1694290095
183,vallenar,-28.5708,-70.7581,28.66,11,100,1.1,CL,1694290096
184,hermanus,-34.4187,19.2345,16.56,74,8,14.52,ZA,1694290096
185,akureyri,65.6835,-18.0878,5.21,98,100,2.39,IS,1694290096
186,villa de san antonio,14.3167,-87.6167,32.42,44,42,2.76,HN,1694290097
187,saint-philippe,-21.3585,55.7679,21.77,78,12,3.48,RE,1694290097
188,saint-pierre,-21.3393,55.4781,21.82,83,100,3.09,RE,1694290098
189,ganges,43.9338,3.7078,21.65,57,5,1.3,FR,1694290098
190,ouadda,8.0777,22.4007,21.5,96,80,0.99,CF,1694290098
191,greenville,35.6127,-77.3663,30.63,62,0,3.09,US,1694290060
192,lospalos,-8.5186,127.0025,20.47,95,64,1.41,TL,1694290099
193,levuka,50.1834,-105.4011,20.57,33,67,1.63,CA,1694290099
194,nova sintra,14.8667,-24.7167,24.4,77,84,2.47,CV,1694290099
195,udachny,66.4167,112.4,-0.32,75,100,2.2,RU,1694290044
196,clearwater,27.9659,-82.8001,32.18,74,40,2.57,US,1694289922
197,auki,-8.7676,160.7034,24.26,88,100,2.91,SB,1694290100
198,markovo,57.3206,107.0881,5.59,96,100,1.24,RU,1694290100
199,prince rupert,54.3161,-130.3201,18.8,55,24,1.63,CA,1694290100
200,la'ie,21.6477,-157.9253,30.98,71,49,4.02,US,1694290100
201,vicksburg,32.3526,-90.8779,32.82,43,0,5.14,US,1694289926
202,taseyevo,57.2169,94.8978,6.89,93,91,0.4,RU,1694290101
203,san patricio,28.017,-97.5169,37.4,37,1,4.51,US,1694290101
204,cabo san lucas,22.8909,-109.9124,36.61,67,20,7.72,MX,1694289970
205,chimore,-16.9833,-65.1333,37.85,20,0,1.48,BO,1694290102
206,mead valley,33.8334,-117.2962,38.18,33,0,6.17,US,1694290102
207,kourou,5.1552,-52.6478,31.03,69,27,4.69,GF,1694290102
208,alofi,-19.0595,-169.9187,22.94,88,75,6.69,NU,1694290103
209,douglas,41.3,-96.167,29.82,31,0,1.54,US,1694290103
210,kunigal,13.0222,77.0267,21.2,84,13,4.05,IN,1694290103
211,traverse city,44.7631,-85.6206,22.13,49,40,3.09,US,1694290104
212,jiazi,22.8779,116.067,24.89,84,100,1.89,CN,1694290104
213,mahina,-17.5065,-149.489,27.87,69,20,2.57,PF,1694290075
214,prado,-17.3411,-39.2208,23.85,73,32,4.04,BR,1694290071
215,caconda,-13.7333,15.0667,20.9,16,0,0.66,AO,1694290105
216,aras-asan,8.8908,126.3033,25.3,87,66,1.88,PH,1694290105
217,northam,51.0333,-4.2167,21.25,91,59,0.45,GB,1694290105
218,wailua homesteads,22.0669,-159.378,28.24,71,20,6.17,US,1694290105
219,inirida,3.8653,-67.9239,30.09,69,96,0.68,CO,1694290106
220,nishinoomote,30.7333,131.0,26.43,76,19,3.23,JP,1694290106
221,vangaindrano,-23.35,47.6,20.53,92,27,2.63,MG,1694290106
222,la gi,10.6667,107.7833,25.94,88,100,4.06,VN,1694290106
223,nizhniy kuranakh,58.8353,125.4869,-0.01,91,63,1.07,RU,1694290107
224,surahammar,59.7072,16.2219,17.59,83,100,2.11,SE,1694290107
225,koungou,-12.7336,45.2042,25.84,78,0,3.09,YT,1694290107
226,orchard homes,46.8633,-114.0484,24.6,42,0,0.45,US,1694290107
227,tsiombe,-25.3,45.4833,20.87,86,0,1.81,MG,1694290108
228,al khafji,28.4391,48.4913,34.9,36,0,4.84,SA,1694290108
229,labuan,5.2767,115.2417,27.47,80,41,3.89,MY,1694290108
230,touros,-5.1989,-35.4608,26.0,75,4,8.0,BR,1694290085
231,kismayo,-0.3582,42.5454,24.85,81,72,5.91,SO,1694290109
232,mirny,62.5353,113.9611,1.66,70,100,1.66,RU,1694290109
233,mazagao,-0.115,-51.2894,33.03,43,3,4.23,BR,1694290109
234,wuhai,39.6647,106.8122,20.37,59,2,3.17,CN,1694290110
235,reggane,26.7158,0.1714,38.81,13,23,4.38,DZ,1694290110
236,ust'-ilimsk,58.0006,102.6619,2.66,92,46,0.57,RU,1694290110
237,tolanaro,-25.0319,46.9987,21.55,87,0,6.46,MG,1694290110
238,invercargill,-46.4,168.35,8.9,71,99,0.89,NZ,1694290111
239,tikrit,34.6071,43.6782,33.15,20,0,2.25,IQ,1694290111
240,madang,-5.2246,145.7966,24.55,91,100,2.02,PG,1694290111
241,porto novo,6.4965,2.6036,24.38,89,59,2.33,BJ,1694290111
242,estevan,49.1334,-102.9842,20.19,48,75,1.54,CA,1694290112
243,dalianwan,39.0286,121.695,24.02,69,20,2.0,CN,1694290112
244,ancud,-41.8697,-73.8203,10.45,80,5,7.2,CL,1694290112
245,choibalsan,48.0667,114.5,9.59,88,98,5.38,MN,1694290112
246,brookings,44.3114,-96.7984,24.19,56,100,2.57,US,1694290113
247,klyuchi,52.2667,79.1667,14.48,61,80,5.87,RU,1694290113
248,taksimo,56.3444,114.8794,3.78,91,67,0.56,RU,1694290113
249,afif,23.9065,42.9172,30.6,13,51,4.36,SA,1694290113
250,jijel,36.8205,5.7667,23.5,79,0,1.33,DZ,1694290114
251,przysucha,51.3586,20.6289,21.39,62,98,2.13,PL,1694290114
252,kulattur,9.0167,78.2,28.44,64,100,6.68,IN,1694290114
253,asaita,11.5636,41.4394,36.47,24,80,3.54,ET,1694290114
254,sungailiat,-1.85,106.1333,26.12,83,5,4.02,ID,1694290114
255,fortuna,40.5982,-124.1573,21.63,75,0,4.12,US,1694290115
256,constantia,44.1833,28.65,20.39,48,1,2.52,RO,1694290115
257,callao,-12.0667,-77.15,23.18,64,75,5.14,PE,1694289899
258,queenstown,-31.8976,26.8753,22.13,14,3,4.25,ZA,1694290115
259,manokwari,-0.8667,134.0833,24.8,84,100,1.22,ID,1694290116
260,iquique,-20.2208,-70.1431,19.97,71,31,1.77,CL,1694290015
261,ardestan,33.3761,52.3694,28.47,13,0,0.85,IR,1694290116
262,bubaque,11.2833,-15.8333,26.4,88,100,2.59,GW,1694290116
263,georgetown,5.4112,100.3354,27.19,94,20,1.03,MY,1694289972
264,akjoujt,19.6969,-14.4164,39.29,21,1,1.01,MR,1694290009
265,happy valley-goose bay,53.3168,-60.3315,6.34,97,100,2.08,CA,1694290117
266,rio grande,-32.035,-52.0986,19.06,75,23,2.95,BR,1694290117
267,olonkinbyen,70.9221,-8.7187,2.8,67,57,7.3,SJ,1694290117
268,galliano,29.4422,-90.2992,33.0,49,0,2.57,US,1694290118
269,uturoa,-16.7333,-151.4333,25.95,79,16,6.41,PF,1694290118
270,dudinka,69.4058,86.1778,5.9,82,100,2.53,RU,1694290118
271,enewetak,11.3474,162.3373,28.44,76,56,3.49,MH,1694290118
272,belyy yar,53.6039,91.3903,8.94,93,84,1.0,RU,1694290119
273,anekal,12.7,77.7,21.73,88,12,6.22,IN,1694290119
274,arkhangel'sk,64.5401,40.5433,9.85,87,11,2.27,RU,1694290119
275,matamoros,25.5333,-103.25,34.06,28,20,3.6,MX,1694290119
276,shingu,33.7333,135.9833,23.91,87,100,1.69,JP,1694290120
277,muravlenko,63.7898,74.523,10.11,80,57,3.02,RU,1694290120
278,pelabuhan klang,3.0,101.4,27.16,82,100,0.55,MY,1694290094
279,razole,16.4833,81.8333,26.63,85,96,2.55,IN,1694290120
280,grande prairie,55.1667,-118.8027,20.32,40,6,3.39,CA,1694290121
281,nhamunda,-2.1861,-56.7131,38.69,25,79,3.54,BR,1694290121
282,rhinelander,45.6366,-89.4121,25.42,40,0,0.0,US,1694290121
283,basco,20.4487,121.9702,26.49,84,100,2.8,PH,1694290121
284,palafrugell,41.9174,3.1631,23.03,48,9,0.89,ES,1694290122
285,al burayqah,30.4062,19.5739,25.89,77,1,11.47,LY,1694290122
286,bizerte,37.2744,9.8739,24.0,73,0,0.0,TN,1694289977
287,naduvattam,11.4833,76.5667,13.31,94,53,1.83,IN,1694290122
288,london,51.5085,-0.1257,26.66,65,26,2.57,GB,1694289851
